country,year,predicted_temperature
ETH,2017,23.824223
ETH,2018,23.865772
ETH,2019,23.909655
ETH,2020,23.953531
ETH,2021,23.999245
ETH,2022,24.047106
ETH,2023,24.094961
ETH,2024,24.14281
ETH,2025,24.191235
FRO,2015,7.6523256
FRO,2016,7.718942
FRO,2017,7.7858214
FRO,2018,7.847868
FRO,2019,7.9078155
FRO,2020,7.9683685
FRO,2021,8.030227
FRO,2022,8.092141
FRO,2023,8.145948
FRO,2024,8.194546
FRO,2025,8.246711
SWZ,2015,19.912663
SWZ,2016,19.940203
SWZ,2017,19.967756
SWZ,2018,19.995697
SWZ,2019,20.023977
SWZ,2020,20.052244
SWZ,2021,20.080526
SWZ,2022,20.110584
SWZ,2023,20.146088
SWZ,2024,20.184507
SWZ,2025,20.22606
FIN,2015,3.2696934
FIN,2016,3.3186677
FIN,2017,3.367498
FIN,2018,3.4216595
FIN,2019,3.4822443
FIN,2020,3.5414915
FIN,2021,3.5994353
FIN,2022,3.644953
FIN,2023,3.6937947
FIN,2024,3.750328
FIN,2025,3.8062315
FJI,2015,24.901207
FJI,2016,24.939991
FJI,2017,24.978777
FJI,2018,25.017576
FJI,2019,25.05637
FJI,2020,25.09521
FJI,2021,25.134811
FJI,2022,25.179312
FJI,2023,25.22345
FJI,2024,25.267067
FJI,2025,25.310692
FSM,2015,27.517069
FSM,2016,27.5487
FSM,2017,27.580341
FSM,2018,27.611973
FSM,2019,27.643612
FSM,2020,27.675022
FSM,2021,27.706318
FSM,2022,27.737614
FSM,2023,27.768906
FSM,2024,27.80037
FSM,2025,27.832006
ATF,2015,3.325522
ATF,2016,3.347577
ATF,2017,3.375471
ATF,2018,3.409749
ATF,2019,3.4440255
ATF,2020,3.4783032
ATF,2021,3.517456
ATF,2022,3.5655022
ATF,2023,3.6188052
ATF,2024,3.674835
ATF,2025,3.7263227
FRA,2015,12.238282
FRA,2016,12.303015
FRA,2017,12.369026
FRA,2018,12.435032
FRA,2019,12.501151
FRA,2020,12.567797
FRA,2021,12.634445
FRA,2022,12.7011
FRA,2023,12.767751
FRA,2024,12.834394
FRA,2025,12.902613
PYF,2015,25.771578
PYF,2016,25.78313
PYF,2017,25.794182
PYF,2018,25.805239
PYF,2019,25.816288
PYF,2020,25.830893
PYF,2021,25.854155
PYF,2022,25.886578
PYF,2023,25.92043
PYF,2024,25.95429
PYF,2025,25.99094
DEU,2015,10.0323105
DEU,2016,10.097655
DEU,2017,10.165182
DEU,2018,10.232982
DEU,2019,10.3013735
DEU,2020,10.369822
DEU,2021,10.439812
DEU,2022,10.51021
DEU,2023,10.580659
DEU,2024,10.651112
DEU,2025,10.7223625
GAB,2015,25.062777
GAB,2016,25.111961
GAB,2017,25.16116
GAB,2018,25.210697
GAB,2019,25.258156
GAB,2020,25.302183
GAB,2021,25.346218
GAB,2022,25.390263
GAB,2023,25.43429
GAB,2024,25.478327
GAB,2025,25.522366
GEO,2015,8.921567
GEO,2016,8.990205
GEO,2017,9.059509
GEO,2018,9.129238
GEO,2019,9.19931
GEO,2020,9.269391
GEO,2021,9.339468
GEO,2022,9.409541
GEO,2023,9.480185
GEO,2024,9.552205
GEO,2025,9.624223
GHA,2015,27.972466
GHA,2016,28.017717
GHA,2017,28.06298
